driver id,driver_role,driver_city_name,sign_up,sign_up_date,regular,regular_date,bind_car,bind_car_date,available,available_date,main_channel,car_factory_year,brand_id,inn_id,first_download_time,driver_first_trip_date,driver_last_trip_date,car_first_trip_date,acceptance,trips,,,,,,,,,
8470311842525,Driver from fleet,Panama City,Sign up,19/12/2020,Regular,21/12/2020,Bind car,22/12/2020,Available,14/03/2021,Organic,2014,1014309,null,10/11/2020,14/01/2021,13/04/2021,14/01/2021,145,129,,,,,,,,,
8470311842546,Driver from fleet,Panama City,Sign up,17/12/2020,Regular,20/12/2020,Bind car,10/01/2021,Available,10/01/2021,Fleet,2018,1014243,null,17/12/2020,13/01/2021,13/04/2021,13/01/2021,2464,1571,,,,,,,,,
8470311842550,Driver from fleet,Munich,Sign up,16/09/2020,Regular,16/12/2020,Not bind car,null,Not available,null,Organic,null,null,null,16/12/2020,null,null,null,null,null,,,,,,,,,
8470311842613,Driver-IE,Munich,Sign up,19/09/2020,Not regular,null,Bind car,26/09/2020,Not available,null,Organic,2011,1014091,Approved,27/02/2021,null,null,15/10/2020,null,null,,,,,,,,,
8470311842619,Driver from fleet,Munich,Sign up,08/09/2020,Regular,08/09/2020,Bind car,11/01/2021,Available,11/01/2021,Organic,2006,1014309,null,08/09/2020,27/01/2021,13/04/2021,27/01/2021,101,79,,,,,,,,,
8470311842619,Driver from fleet,Riyadh,Sign up,24/12/2020,Regular,30/12/2020,Bind car,30/12/2020,Available,30/12/2020,Organic,2018,1013694,null,09/09/2020,14/01/2021,25/03/2021,14/01/2021,41,40,,,,,,,,,
8470311842637,Driver from fleet,Panama City,Sign up,06/09/2020,Not regular,null,Not bind car,null,Not available,null,Offline,null,null,null,14/01/2021,null,null,null,null,null,,,,,,,,,
8470311842638,Driver from fleet,Riyadh,Sign up,18/12/2020,Not regular,null,Bind car,27/12/2020,Not available,null,Organic,2018,1014336,null,null,25/01/2021,27/02/2021,25/01/2021,592,399,,,,,,,,,
8470311842639,Driver from fleet,Munich,Sign up,25/01/2021,Regular,10/02/2021,Bind car,15/02/2021,Available,22/02/2021,Organic,null,null,null,25/01/2021,null,null,null,null,null,,,,,,,,,
8470311842646,Driver from fleet,Munich,Sign up,17/12/2020,Regular,17/12/2020,Bind car,18/12/2020,Available,30/12/2020,Organic,2014,1014255,null,17/12/2020,23/01/2021,20/03/2021,23/01/2021,797,468,,,,,,,,,
8470311842649,Driver from fleet,Panama City,Sign up,02/09/2020,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,02/09/2020,null,null,null,null,null,,,,,,,,,
8470311842662,Driver from fleet,Munich,Sign up,23/02/2021,Regular,11/04/2021,Bind car,11/04/2021,Not available,null,Organic,null,null,null,04/09/2020,null,null,null,null,null,,,,,,,,,
8470311842667,Driver from fleet,Munich,Sign up,04/09/2020,Regular,06/09/2020,Bind car,30/12/2020,Available,25/01/2021,null,2014,1014493,null,06/09/2020,11/01/2021,12/03/2021,11/01/2021,139,99,,,,,,,,,
8470311842680,Driver from fleet,Riyadh,Sign up,15/12/2020,Regular,16/12/2020,Bind car,16/12/2020,Available,01/01/2021,Organic,2019,1014179,null,05/09/2020,12/01/2021,12/04/2021,12/01/2021,796,486,,,,,,,,,
8470311842681,Driver from fleet,Riyadh,Sign up,14/12/2020,Not regular,null,Bind car,02/01/2021,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842704,Driver from fleet,Munich,Sign up,16/01/2021,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842704,Driver from fleet,Panama City,Sign up,07/02/2021,Not regular,null,Bind car,07/02/2021,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842705,Driver from fleet,Munich,Sign up,18/12/2020,Regular,20/12/2020,Bind car,15/02/2021,Available,15/02/2021,Organic,2020,1014493,null,16/09/2020,12/01/2021,13/04/2021,22/02/2021,1138,861,,,,,,,,,
8470311842706,Driver from fleet,Riyadh,Sign up,20/12/2020,Not regular,null,Bind car,24/12/2020,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842722,Driver from fleet,Panama City,Sign up,18/12/2020,Regular,19/12/2020,Bind car,20/12/2020,Available,25/12/2020,Organic,2012,1014312,null,06/09/2020,12/01/2021,02/03/2021,12/01/2021,66,59,,,,,,,,,
8470311842744,Driver from fleet,Panama City,Sign up,07/09/2020,Regular,29/12/2020,Bind car,30/12/2020,Available,30/12/2020,Organic,2018,1014493,null,08/09/2020,11/01/2021,24/02/2021,11/01/2021,20,10,,,,,,,,,
8470311842753,Driver from fleet,Riyadh,Sign up,25/12/2020,Regular,29/12/2020,Bind car,31/12/2020,Available,03/01/2021,Organic,2011,1014232,null,07/09/2020,04/03/2021,04/03/2021,04/03/2021,2,2,,,,,,,,,
8470311842766,Driver from fleet,Riyadh,Sign up,27/12/2020,Not regular,null,Bind car,30/12/2020,Not available,null,Organic,2014,1014331,null,null,11/01/2021,01/03/2021,11/01/2021,577,424,,,,,,,,,
8470311842767,Driver from fleet,Munich,Sign up,14/01/2021,Not regular,null,Not bind car,null,Not available,null,Offline,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842774,Driver from fleet,Panama City,Sign up,17/02/2021,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842792,Driver from fleet,Panama City,Sign up,05/11/2020,Regular,06/11/2020,Bind car,09/01/2021,Available,09/01/2021,Fleet,2014,1013980,null,05/10/2020,null,null,null,null,null,,,,,,,,,
8470311842797,Driver from fleet,Munich,Sign up,17/12/2020,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842821,Driver-IE,Munich,Sign up,05/09/2020,Regular,13/09/2020,Bind car,29/09/2020,Available,29/09/2020,Organic,2019,1014493,Approved,05/09/2020,null,null,null,null,null,,,,,,,,,
8470311842827,Driver from fleet,Panama City,Sign up,18/12/2020,Regular,21/12/2020,Bind car,21/12/2020,Available,22/12/2020,Organic,2019,1014493,null,18/12/2020,11/01/2021,23/03/2021,11/01/2021,602,372,,,,,,,,,
8470311842828,Driver from fleet,Munich,Sign up,13/03/2021,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842830,Driver from fleet,Munich,Sign up,18/12/2020,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842833,Driver from fleet,Panama City,Sign up,30/12/2020,Not regular,null,Bind car,30/12/2020,Not available,null,Fleet,2014,1013967,null,null,null,null,null,null,null,,,,,,,,,
8470311842838,Driver from fleet,Riyadh,Sign up,06/09/2020,Regular,20/12/2020,Bind car,27/12/2020,Available,08/02/2021,Organic,2018,1014309,null,06/09/2020,11/01/2021,18/03/2021,11/01/2021,1471,957,,,,,,,,,
8470311842841,Driver from fleet,Munich,Sign up,20/12/2020,Regular,21/12/2020,Bind car,21/12/2020,Available,21/12/2020,Organic,2019,1014493,null,20/12/2020,27/02/2021,28/02/2021,27/02/2021,2,2,,,,,,,,,
8470311842878,Driver from fleet,Panama City,Sign up,20/01/2021,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842903,Fleet-llc/IE,Riyadh,Sign up,23/12/2020,Regular,23/12/2020,Bind car,12/04/2021,Not available,null,Organic,2017,1014493,Approved,null,null,null,11/01/2021,null,null,,,,,,,,,
8470311842911,Driver from fleet,Panama City,Sign up,27/12/2020,Regular,10/01/2021,Bind car,12/01/2021,Available,07/02/2021,Organic,2013,1014145,null,08/09/2020,05/02/2021,26/02/2021,05/02/2021,72,63,,,,,,,,,
8470311842913,Driver from fleet,Munich,Sign up,13/03/2021,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842924,Driver from fleet,Panama City,Sign up,01/01/2021,Regular,03/01/2021,Bind car,03/01/2021,Available,03/01/2021,Fleet,2019,1014478,null,09/09/2020,11/01/2021,09/04/2021,11/01/2021,117,92,,,,,,,,,
8470311842935,Driver from fleet,Munich,Sign up,10/09/2020,Regular,11/09/2020,Not bind car,null,Not available,null,Organic,null,null,null,10/09/2020,null,null,null,null,null,,,,,,,,,
8470311842938,Driver from fleet,Munich,Sign up,24/12/2020,Regular,29/12/2020,Bind car,24/12/2020,Available,29/12/2020,Fleet,2013,1014309,null,11/09/2020,15/01/2021,10/04/2021,15/01/2021,18,16,,,,,,,,,
8470311842972,Fleet-llc/IE,Munich,Sign up,24/12/2020,Regular,24/12/2020,Bind car,13/04/2021,Not available,null,Organic,null,null,Approved,null,null,null,null,null,null,,,,,,,,,
8470311842973,Driver from fleet,Munich,Sign up,27/01/2021,Regular,27/01/2021,Bind car,27/01/2021,Available,29/01/2021,Fleet,2010,1014391,null,14/09/2020,06/02/2021,08/04/2021,06/02/2021,147,85,,,,,,,,,
8470311842996,Driver from fleet,Panama City,Sign up,15/09/2020,Regular,27/09/2020,Bind car,04/10/2020,Available,06/10/2020,Fleet,2019,1014493,null,15/09/2020,null,null,null,null,null,,,,,,,,,
8470311842996,Driver from fleet,Munich,Sign up,18/12/2020,Regular,29/12/2020,Bind car,30/12/2020,Available,01/01/2021,Organic,2016,1014478,null,15/09/2020,null,null,null,2,0,,,,,,,,,
8470311843004,Driver from fleet,Munich,Sign up,17/12/2020,Regular,18/12/2020,Bind car,24/12/2020,Available,31/12/2020,Organic,2012,1014341,null,16/09/2020,13/01/2021,13/04/2021,13/01/2021,81,77,,,,,,,,,
8470311843030,Driver from fleet,Riyadh,Sign up,19/10/2020,Regular,20/10/2020,Bind car,24/10/2020,Available,30/12/2020,Fleet,2019,1014497,null,30/12/2020,null,null,30/11/2020,null,null,,,,,,,,,
8470311843034,Driver from fleet,Panama City,Sign up,27/09/2020,Regular,28/09/2020,Bind car,21/12/2020,Available,21/12/2020,Organic,2014,1013819,null,17/09/2020,11/01/2021,11/01/2021,11/01/2021,2,2,,,,,,,,,
8470311843036,Driver from fleet,Panama City,Sign up,21/12/2020,Regular,31/12/2020,Not bind car,null,Not available,null,Organic,null,null,null,03/05/2021,null,null,null,null,null,,,,,,,,,
8470311843046,Driver from fleet,Munich,Sign up,22/12/2020,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311843056,Driver from fleet,Munich,Sign up,19/09/2020,Regular,16/01/2021,Bind car,16/01/2021,Available,16/01/2021,Organic,2007,1014243,null,19/09/2020,16/01/2021,02/04/2021,16/01/2021,252,202,,,,,,,,,
8470311843075,Driver from fleet,Panama City,Sign up,17/12/2020,Not regular,null,Bind car,17/12/2020,Not available,null,Organic,2018,1014150,null,null,null,null,null,null,null,,,,,,,,,
8470311843076,Driver from fleet,Munich,Sign up,19/09/2020,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311843078,Driver from fleet,Panama City,Sign up,20/12/2020,Regular,28/12/2020,Bind car,17/03/2021,Available,17/03/2021,Fleet,2020,1014497,null,17/12/2020,17/01/2021,13/04/2021,13/04/2021,48,43,,,,,,,,,
8470311843082,Driver from fleet,Panama City,Sign up,02/01/2021,Regular,09/01/2021,Not bind car,null,Not available,null,Organic,null,null,null,02/01/2021,null,null,null,null,null,,,,,,,,,
8470311843085,Driver from fleet,Riyadh,Sign up,07/01/2021,Regular,08/01/2021,Bind car,07/01/2021,Available,09/01/2021,Fleet,2011,1014456,null,20/09/2020,null,null,null,null,null,,,,,,,,,
8470311843097,Driver from fleet,Munich,Sign up,17/01/2021,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311843109,Driver from fleet,Riyadh,Sign up,21/09/2020,Regular,15/03/2021,Bind car,16/03/2021,Available,16/03/2021,Organic,2008,1014334,null,16/03/2021,26/03/2021,26/03/2021,26/03/2021,8,6,,,,,,,,,
8470311843114,Driver from fleet,Panama City,Sign up,15/09/2020,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,13/09/2020,null,null,null,null,null,,,,,,,,,
8470311843115,Driver from fleet,Riyadh,Sign up,23/12/2020,Regular,29/12/2020,Bind car,29/12/2020,Available,30/12/2020,Organic,2018,1014309,null,23/12/2020,25/01/2021,08/03/2021,25/01/2021,26,8,,,,,,,,,
8470311843118,Fleet-llc/IE,Panama City,Sign up,27/01/2021,Regular,28/01/2021,Not bind car,null,Not available,null,Organic,null,null,Approved,null,null,null,null,null,null,,,,,,,,,
8470311843125,Driver from fleet,Panama City,Sign up,18/01/2021,Regular,20/01/2021,Bind car,21/01/2021,Available,21/01/2021,Referral,2008,1014232,null,10/01/2021,28/01/2021,28/02/2021,28/01/2021,72,55,,,,,,,,,
8470311843134,Driver from fleet,Panama City,Sign up,18/12/2020,Regular,19/01/2021,Not bind car,null,Not available,null,Organic,null,null,null,21/09/2020,null,null,null,null,null,,,,,,,,,
8470311843141,Driver from fleet,Munich,Sign up,23/12/2020,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311843164,Driver from fleet,Riyadh,Sign up,20/12/2020,Regular,21/12/2020,Bind car,22/12/2020,Available,27/12/2020,Organic,2012,1014297,null,16/09/2020,15/01/2021,10/03/2021,15/01/2021,57,33,,,,,,,,,
8470311843177,Fleet-llc/IE,Munich,Sign up,23/12/2020,Regular,23/12/2020,Bind car,21/02/2021,Not available,null,Organic,2018,1014091,Approved,null,null,null,null,null,null,,,,,,,,,
8470311843233,Fleet-llc/IE,Riyadh,Sign up,19/12/2020,Regular,19/12/2020,Bind car,31/12/2020,Not available,null,Organic,2017,1014178,Approved,null,null,null,12/01/2021,null,null,,,,,,,,,
8470311843235,Driver from fleet,Riyadh,Sign up,23/12/2020,Regular,03/01/2021,Bind car,14/01/2021,Available,14/01/2021,Organic,2012,1014084,null,20/09/2020,null,null,null,null,null,,,,,,,,,
8470311843254,Driver-IE,Munich,Sign up,21/09/2020,Regular,21/09/2020,Bind car,11/04/2021,Available,11/04/2021,Organic,2014,1014309,Approved,21/09/2020,null,null,null,null,null,,,,,,,,,
8470311843264,Driver from fleet,Munich,Sign up,23/09/2020,Regular,23/09/2020,Bind car,06/01/2021,Available,07/01/2021,Organic,2018,1014497,null,29/09/2020,null,null,null,1,0,,,,,,,,,
8470311843342,Driver from fleet,Panama City,Sign up,14/01/2021,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311843348,Driver from fleet,Riyadh,Sign up,30/12/2020,Regular,31/12/2020,Bind car,30/12/2020,Available,23/03/2021,Fleet,2012,1014478,null,26/09/2020,11/01/2021,08/04/2021,11/01/2021,1214,918,,,,,,,,,
8470311843357,Driver from fleet,Riyadh,Sign up,24/12/2020,Regular,24/12/2020,Bind car,24/12/2020,Available,25/12/2020,Fleet,2014,1014493,null,26/09/2020,11/01/2021,13/04/2021,11/01/2021,62,40,,,,,,,,,
8470311843366,Driver from fleet,Munich,Sign up,25/12/2020,Not regular,null,Not bind car,null,Not available,null,Offline,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311843371,Driver from fleet,Munich,Sign up,19/09/2020,Regular,20/09/2020,Bind car,25/12/2020,Available,02/01/2021,Fleet,2012,1013819,null,19/09/2020,15/10/2020,08/04/2021,11/01/2021,1986,1309,,,,,,,,,
8470311843382,Driver from fleet,Riyadh,Sign up,17/12/2020,Regular,21/12/2020,Bind car,22/12/2020,Available,01/03/2021,Organic,2020,1014309,null,17/12/2020,22/01/2021,13/04/2021,22/01/2021,800,556,,,,,,,,,
8470311843396,Driver from fleet,Munich,Sign up,29/09/2020,Regular,02/10/2020,Bind car,05/10/2020,Available,05/10/2020,Organic,2013,1014493,null,28/09/2020,18/01/2021,12/04/2021,18/01/2021,433,340,,,,,,,,,
8470311843424,Driver from fleet,Panama City,Sign up,19/12/2020,Regular,29/12/2020,Not bind car,null,Not available,null,Organic,null,null,null,18/12/2020,null,null,null,null,null,,,,,,,,,
8470311843449,Fleet-llc/IE,Munich,Sign up,21/12/2020,Regular,21/12/2020,Bind car,10/04/2021,Not available,null,Fleet,null,null,Approved,null,null,null,null,null,null,,,,,,,,,
8470311843450,Driver from fleet,Munich,Sign up,20/12/2020,Regular,31/12/2020,Bind car,01/01/2021,Available,06/01/2021,Organic,2016,1013915,null,22/09/2020,19/01/2021,28/03/2021,19/01/2021,375,231,,,,,,,,,
8470311843454,Driver from fleet,Panama City,Sign up,20/12/2020,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311843460,Driver from fleet,Riyadh,Sign up,02/01/2021,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311843464,Driver from fleet,Munich,Sign up,18/12/2020,Regular,19/12/2020,Bind car,30/12/2020,Available,11/01/2021,Organic,2015,1013819,null,02/10/2020,14/01/2021,14/01/2021,14/01/2021,1,1,,,,,,,,,
8470311843507,Driver from fleet,Munich,Sign up,17/12/2020,Regular,11/01/2021,Bind car,12/01/2021,Available,12/01/2021,Organic,2019,1014497,null,04/10/2020,14/01/2021,19/01/2021,14/01/2021,18,4,,,,,,,,,
8470311843548,Driver from fleet,Riyadh,Sign up,02/01/2021,Regular,03/01/2021,Bind car,03/01/2021,Available,04/01/2021,Offline,2007,1014566,null,03/01/2021,null,null,null,null,null,,,,,,,,,
8470311843556,Driver from fleet,Munich,Sign up,19/12/2020,Regular,21/12/2020,Bind car,13/01/2021,Available,13/01/2021,Organic,2017,1014091,null,29/09/2020,11/01/2021,08/04/2021,14/01/2021,370,299,,,,,,,,,
8470311843571,Driver from fleet,Panama City,Sign up,21/09/2020,Regular,22/09/2020,Bind car,31/01/2021,Available,01/02/2021,Organic,2019,1014478,null,16/09/2020,02/02/2021,03/02/2021,02/02/2021,38,30,,,,,,,,,
8470311843573,Driver from fleet,Riyadh,Sign up,17/12/2020,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311843587,Driver from fleet,Munich,Sign up,14/02/2021,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311843592,Driver from fleet,Munich,Sign up,12/10/2020,Regular,06/11/2020,Not bind car,null,Not available,null,Organic,null,null,null,01/10/2020,11/01/2021,09/02/2021,null,17,15,,,,,,,,,
8470311843593,Fleet-llc/IE,Munich,Sign up,25/12/2020,Regular,25/12/2020,Bind car,01/04/2021,Not available,null,Fleet,null,null,Approved,null,null,null,null,null,null,,,,,,,,,
8470311843601,Driver from fleet,Panama City,Sign up,17/12/2020,Regular,24/12/2020,Bind car,24/12/2020,Available,18/01/2021,Organic,2008,1013776,null,17/12/2020,11/01/2021,13/04/2021,11/01/2021,182,137,,,,,,,,,
8470311843618,Driver from fleet,Riyadh,Sign up,17/12/2020,Regular,22/12/2020,Bind car,23/12/2020,Available,13/03/2021,null,2014,1013915,null,01/10/2020,11/01/2021,13/04/2021,11/01/2021,1078,793,,,,,,,,,
8470311843619,Driver from fleet,Munich,Sign up,18/12/2020,Regular,01/01/2021,Bind car,04/01/2021,Available,06/01/2021,Organic,null,null,null,02/10/2020,null,null,null,null,null,,,,,,,,,
8470311843636,Driver from fleet,Munich,Sign up,17/12/2020,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311843643,Driver from fleet,Munich,Sign up,30/12/2020,Regular,01/01/2021,Bind car,01/01/2021,Available,24/01/2021,Referral,2020,1013819,null,03/10/2020,12/01/2021,09/02/2021,12/01/2021,18,8,,,,,,,,,
8470311843653,Driver from fleet,Panama City,Sign up,17/12/2020,Regular,09/01/2021,Bind car,10/01/2021,Available,15/01/2021,Organic,2011,1014494,null,17/12/2020,15/01/2021,18/01/2021,15/01/2021,8,8,,,,,,,,,
8470311843684,Driver from fleet,Riyadh,Sign up,20/12/2020,Regular,02/01/2021,Bind car,20/12/2020,Available,19/01/2021,Organic,2011,1014494,null,20/12/2020,19/01/2021,12/04/2021,18/03/2021,128,112,,,,,,,,,
8470311843695,Driver from fleet,Riyadh,Sign up,02/01/2021,Regular,03/01/2021,Bind car,02/01/2021,Available,03/01/2021,Offline,2019,1014336,null,29/09/2020,11/01/2021,13/04/2021,11/01/2021,186,136,,,,,,,,,
8470311843697,Driver from fleet,Panama City,Sign up,16/12/2020,Regular,23/12/2020,Bind car,16/12/2020,Not available,null,null,2012,1014232,null,16/12/2020,null,null,null,null,null,,,,,,,,,
8470311843720,Driver from fleet,Riyadh,Sign up,03/11/2020,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,30/09/2020,11/01/2021,12/03/2021,null,485,338,,,,,,,,,
8470311843724,Driver from fleet,Panama City,Sign up,17/12/2020,Regular,21/12/2020,Bind car,09/02/2021,Available,09/02/2021,Fleet,2018,1014497,null,30/09/2020,14/01/2021,30/03/2021,13/02/2021,605,426,,,,,,,,,
8470311843729,Driver from fleet,Panama City,Sign up,01/02/2021,Regular,01/02/2021,Bind car,01/02/2021,Available,01/02/2021,Referral,2017,1014336,null,null,02/02/2021,11/02/2021,02/02/2021,132,106,,,,,,,,,
8470311843733,Driver from fleet,Munich,Sign up,30/01/2021,Regular,24/02/2021,Not bind car,null,Not available,null,Organic,null,null,null,01/10/2020,null,null,null,null,null,,,,,,,,,
8470311843737,Driver from fleet,Panama City,Sign up,24/12/2020,Regular,29/12/2020,Bind car,29/12/2020,Available,29/12/2020,Fleet,2014,1014495,null,25/12/2020,null,null,null,null,null,,,,,,,,,
8470311843755,Driver from fleet,Riyadh,Sign up,27/12/2020,Regular,27/12/2020,Bind car,27/12/2020,Available,28/12/2020,Organic,2015,1014478,null,01/10/2020,null,null,null,1,0,,,,,,,,,
8470311843771,Driver from fleet,Panama City,Sign up,29/12/2020,Regular,29/12/2020,Bind car,01/01/2021,Available,01/01/2021,Referral,2015,1014289,null,02/10/2020,11/01/2021,13/04/2021,11/01/2021,898,618,,,,,,,,,
8470311843772,Driver from fleet,Riyadh,Sign up,18/12/2020,Not regular,null,Bind car,26/12/2020,Not available,null,Organic,2012,1014493,null,18/12/2020,12/01/2021,07/04/2021,12/01/2021,820,730,,,,,,,,,
8470311843780,Driver from fleet,Panama City,Sign up,14/01/2021,Regular,14/01/2021,Bind car,14/01/2021,Available,15/01/2021,Fleet,2017,1014494,null,02/10/2020,15/01/2021,11/02/2021,15/01/2021,42,39,,,,,,,,,
8470311843784,Driver from fleet,Munich,Sign up,20/12/2020,Regular,30/01/2021,Not bind car,null,Not available,null,Organic,null,null,null,02/10/2020,null,null,null,null,null,,,,,,,,,
8470311843790,Driver from fleet,Munich,Sign up,03/10/2020,Regular,18/12/2020,Bind car,26/03/2021,Available,26/03/2021,Fleet,2012,1014046,null,06/11/2020,17/02/2021,19/03/2021,null,352,319,,,,,,,,,
8470311843797,Driver from fleet,Munich,Sign up,18/12/2020,Regular,27/12/2020,Bind car,21/02/2021,Available,21/02/2021,Organic,2013,1014309,null,03/10/2020,21/01/2021,12/02/2021,null,416,311,,,,,,,,,
8470311843816,Driver from fleet,Munich,Sign up,21/12/2020,Regular,23/12/2020,Bind car,19/01/2021,Available,19/01/2021,Organic,2010,1014590,null,03/10/2020,22/01/2021,29/01/2021,22/01/2021,60,51,,,,,,,,,
8470311843818,Fleet-llc/IE,Munich,Sign up,30/09/2020,Regular,01/10/2020,Bind car,10/04/2021,Not available,null,Organic,null,null,Approved,null,null,null,null,null,null,,,,,,,,,
8470311843838,Driver from fleet,Riyadh,Sign up,25/02/2021,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311843846,Driver from fleet,Riyadh,Sign up,29/09/2020,Not regular,null,Bind car,11/01/2021,Not available,null,Fleet,2016,1013915,null,29/09/2020,12/01/2021,15/01/2021,12/01/2021,13,11,,,,,,,,,
8470311843855,Fleet-llc/IE,Munich,Sign up,24/12/2020,Regular,24/12/2020,Not bind car,null,Not available,null,Organic,null,null,Approved,null,null,null,null,null,null,,,,,,,,,
8470311843871,Driver from fleet,Riyadh,Sign up,20/12/2020,Regular,20/01/2021,Not bind car,null,Not available,null,Organic,null,null,null,30/09/2020,21/01/2021,11/03/2021,null,562,483,,,,,,,,,
8470311843877,Driver from fleet,Riyadh,Sign up,06/02/2021,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,06/05/2021,null,null,null,null,null,,,,,,,,,
8470311843903,Driver from fleet,Munich,Sign up,12/12/2020,Regular,12/01/2021,Bind car,16/01/2021,Available,16/01/2021,Organic,2013,1014309,null,01/10/2020,16/01/2021,16/01/2021,16/01/2021,2,2,,,,,,,,,
8470311843904,Driver from fleet,Riyadh,Sign up,10/01/2021,Not regular,null,Not bind car,null,Not available,null,Referral,null,null,null,27/04/2021,null,null,null,null,null,,,,,,,,,
